Ticker,TargetVariable,ModelType,FeatureSet,NumTrainSamples,NumTestSamples,MAE,RMSE,R2,Sgn_acc,Accuracy,Precision,Recall,F1,ROC_AUC
SBER,target_1d,LGBMRegressor,Base,1315,262,1.5706137322980258,2.145210189145635,-0.48420410938314107,0.4732824427480916,,,,,
SBER,target_1d,LGBMRegressor,Extended,1315,262,1.5971294056808423,2.1709882375777108,-0.5200884826040657,0.4847328244274809,,,,,
SBER,target_1d,LGBMRegressor,Tech_Macro,1315,262,1.5412321347503612,2.1081254872662814,-0.43333216015021514,0.46946564885496184,,,,,
SBER,target_1d,LGBMRegressor,Tech_Only,1315,262,1.4868061837757895,2.101736911783711,-0.4246580315018118,0.46946564885496184,,,,,
SBER,target_1d,XGBRegressor,Base,1315,262,1.6033088087653897,2.1684214876934553,-0.5164962195087619,0.5190839694656488,,,,,
SBER,target_1d,XGBRegressor,Extended,1315,262,1.8827948935451155,2.4918560639530236,-1.0026259204503174,0.46564885496183206,,,,,
SBER,target_1d,XGBRegressor,Tech_Macro,1315,262,2.0182114581548474,2.665456769870552,-1.2913805062767563,0.44656488549618323,,,,,
SBER,target_1d,XGBRegressor,Tech_Only,1315,262,1.546981049789875,2.135209836280571,-0.47039849815813084,0.4847328244274809,,,,,
SBER,target_3d,LGBMRegressor,Base,1312,262,2.9404645223824146,3.7754611195726486,-0.39960586145751575,0.45038167938931295,,,,,
SBER,target_3d,LGBMRegressor,Extended,1312,262,3.1437792406934144,4.056192000387945,-0.6154843555962937,0.4541984732824427,,,,,
SBER,target_3d,LGBMRegressor,Tech_Macro,1312,262,2.96326724991396,3.810248308338735,-0.4255166890759563,0.46946564885496184,,,,,
SBER,target_3d,LGBMRegressor,Tech_Only,1312,262,2.914021963840105,3.8825291438204,-0.480114104074016,0.3969465648854962,,,,,
SBER,target_3d,XGBRegressor,Base,1312,262,3.5257390489344145,4.653941298384929,-1.1267064608384612,0.4541984732824427,,,,,
SBER,target_3d,XGBRegressor,Extended,1312,262,3.4741069447532413,4.648658816799754,-1.1218813411273834,0.4312977099236641,,,,,
SBER,target_3d,XGBRegressor,Tech_Macro,1312,262,3.9827608559332504,5.120993798834804,-1.5749823000216625,0.48854961832061067,,,,,
SBER,target_3d,XGBRegressor,Tech_Only,1312,262,3.087354543156359,4.159565713940744,-0.6988761827418359,0.3893129770992366,,,,,
SBER,target_7d,LGBMRegressor,Base,1305,261,4.847293430915653,6.1346378451651615,-0.40651086735651765,0.5134099616858238,,,,,
SBER,target_7d,LGBMRegressor,Extended,1305,261,5.372168259327615,6.822779992238713,-0.7397544961011402,0.48659003831417624,,,,,
SBER,target_7d,LGBMRegressor,Tech_Macro,1305,261,4.56287628834977,5.806914408769924,-0.26024819082363915,0.4942528735632184,,,,,
SBER,target_7d,LGBMRegressor,Tech_Only,1305,261,4.767005893366325,6.095297376611512,-0.3885292431189211,0.42911877394636017,,,,,
SBER,target_7d,XGBRegressor,Base,1305,261,4.054444623656423,5.4362376617575086,-0.10449080089613005,0.4827586206896552,,,,,
SBER,target_7d,XGBRegressor,Extended,1305,261,5.785890884772047,7.615876973253951,-1.167729424866895,0.524904214559387,,,,,
SBER,target_7d,XGBRegressor,Tech_Macro,1305,261,4.138640626884974,5.400652602653568,-0.09007835797755037,0.524904214559387,,,,,
SBER,target_7d,XGBRegressor,Tech_Only,1305,261,4.130175845824416,5.5393771091625155,-0.14679844952449717,0.5287356321839081,,,,,
SBER,target_30d,LGBMRegressor,Base,1278,255,10.682820075599748,12.518309084393234,-0.5327349796606011,0.42745098039215684,,,,,
SBER,target_30d,LGBMRegressor,Extended,1278,255,10.775926754589307,12.415636533156283,-0.5076957427238988,0.4823529411764706,,,,,
SBER,target_30d,LGBMRegressor,Tech_Macro,1278,255,10.67283792310815,12.344875003782755,-0.49055883131254374,0.43529411764705883,,,,,
SBER,target_30d,LGBMRegressor,Tech_Only,1278,255,12.211422475102673,13.823732961673624,-0.8690735848813707,0.3686274509803922,,,,,
SBER,target_30d,XGBRegressor,Base,1278,255,9.722100672678083,11.306802087514082,-0.2504182655080869,0.4627450980392157,,,,,
SBER,target_30d,XGBRegressor,Extended,1278,255,10.249147566947107,11.707856127800351,-0.3406965200466796,0.5019607843137255,,,,,
SBER,target_30d,XGBRegressor,Tech_Macro,1278,255,8.513755102908815,10.191087369225867,-0.01582004376817725,0.5215686274509804,,,,,
SBER,target_30d,XGBRegressor,Tech_Only,1278,255,12.102423839602938,13.75608676622699,-0.8508257842486664,0.3568627450980392,,,,,
SBER,target_180d,LGBMRegressor,Base,1153,230,17.552265114347215,20.897470014400614,-2.415016823375219,0.5695652173913044,,,,,
SBER,target_180d,LGBMRegressor,Extended,1153,230,18.046803589844608,21.750431065081923,-2.699484082522304,0.591304347826087,,,,,
SBER,target_180d,LGBMRegressor,Tech_Macro,1153,230,22.702591252678957,25.651980657204092,-4.145732829431768,0.5695652173913044,,,,,
SBER,target_180d,LGBMRegressor,Tech_Only,1153,230,34.1183221843754,41.97335715520303,-12.776942301512458,0.508695652173913,,,,,
SBER,target_180d,XGBRegressor,Base,1153,230,21.82816417769059,24.05277197351844,-3.524136441559606,0.41304347826086957,,,,,
SBER,target_180d,XGBRegressor,Extended,1153,230,20.385297034243,22.99127939494897,-3.1336309877118476,0.4217391304347826,,,,,
SBER,target_180d,XGBRegressor,Tech_Macro,1153,230,18.097458228791513,20.45439222757185,-2.2717385048452927,0.4043478260869565,,,,,
SBER,target_180d,XGBRegressor,Tech_Only,1153,230,33.05903919182923,39.35096634404015,-11.109221676700718,0.5260869565217391,,,,,
SBER,target_365d,LGBMRegressor,Base,999,199,34.080094123587564,41.185786452522976,-12.06719747766063,0.3065326633165829,,,,,
SBER,target_365d,LGBMRegressor,Extended,999,199,34.148907749798745,41.8898213165626,-12.517760369935427,0.2964824120603015,,,,,
SBER,target_365d,LGBMRegressor,Tech_Macro,999,199,40.200326131336375,46.270158240886396,-15.492621691396689,0.23115577889447236,,,,,
SBER,target_365d,LGBMRegressor,Tech_Only,999,199,59.14743810485026,60.52138358580927,-27.216648202409136,0.20603015075376885,,,,,
SBER,target_365d,XGBRegressor,Base,999,199,34.10731421283166,41.02271053519991,-11.963922700640975,0.24623115577889448,,,,,
SBER,target_365d,XGBRegressor,Extended,999,199,36.46849854634353,43.87399815746345,-13.828668382516103,0.19597989949748743,,,,,
SBER,target_365d,XGBRegressor,Tech_Macro,999,199,36.88494874799982,45.6728590801632,-15.069565179583243,0.24623115577889448,,,,,
SBER,target_365d,XGBRegressor,Tech_Only,999,199,50.70016041743702,55.30064622023195,-22.558527417240484,0.37185929648241206,,,,,
SBER,target_1d_binary,LGBMClassifier,Base,1333,266,,,,,0.48120300751879697,0.47342995169082125,0.7716535433070866,0.5868263473053892,0.4842236447062822
SBER,target_1d_binary,LGBMClassifier,Extended,1333,266,,,,,0.424812030075188,0.42528735632183906,0.5826771653543307,0.49169435215946844,0.44893219282841446
SBER,target_1d_binary,LGBMClassifier,Tech_Macro,1333,266,,,,,0.4699248120300752,0.4642857142857143,0.7165354330708661,0.5634674922600619,0.4768028097207274
SBER,target_1d_binary,LGBMClassifier,Tech_Only,1333,266,,,,,0.5037593984962406,0.4840764331210191,0.5984251968503937,0.5352112676056338,0.5110179572877132
SBER,target_1d_binary,XGBClassifier,Base,1333,266,,,,,0.44360902255639095,0.4426229508196721,0.6377952755905512,0.5225806451612903,0.4732906588115335
SBER,target_1d_binary,XGBClassifier,Extended,1333,266,,,,,0.4924812030075188,0.47701149425287354,0.6535433070866141,0.5514950166112956,0.44547668951453007
SBER,target_1d_binary,XGBClassifier,Tech_Macro,1333,266,,,,,0.45112781954887216,0.44808743169398907,0.6456692913385826,0.5290322580645161,0.45238769614229885
SBER,target_1d_binary,XGBClassifier,Tech_Only,1333,266,,,,,0.4699248120300752,0.4339622641509434,0.36220472440944884,0.3948497854077253,0.48343057837194814
SBER,target_3d_binary,LGBMClassifier,Base,1333,266,,,,,0.43609022556390975,0.4427860696517413,0.7007874015748031,0.5426829268292683,0.4187956721237183
SBER,target_3d_binary,LGBMClassifier,Extended,1333,266,,,,,0.4774436090225564,0.4690721649484536,0.7165354330708661,0.5669781931464174,0.4693253271398629
SBER,target_3d_binary,LGBMClassifier,Tech_Macro,1333,266,,,,,0.45112781954887216,0.4497354497354497,0.6692913385826772,0.5379746835443038,0.44173794822409784
SBER,target_3d_binary,LGBMClassifier,Tech_Only,1333,266,,,,,0.424812030075188,0.42934782608695654,0.6220472440944882,0.5080385852090032,0.4041239449385374
SBER,target_3d_binary,XGBClassifier,Base,1333,266,,,,,0.5112781954887218,0.4888888888888889,0.5196850393700787,0.5038167938931297,0.4646235767291679
SBER,target_3d_binary,XGBClassifier,Extended,1333,266,,,,,0.48120300751879697,0.46357615894039733,0.5511811023622047,0.5035971223021583,0.4731207160256047
SBER,target_3d_binary,XGBClassifier,Tech_Macro,1333,266,,,,,0.45112781954887216,0.42016806722689076,0.3937007874015748,0.4065040650406504,0.4240072508921996
SBER,target_3d_binary,XGBClassifier,Tech_Only,1333,266,,,,,0.42857142857142855,0.4161073825503356,0.4881889763779528,0.4492753623188406,0.4099019996601144
SBER,target_7d_binary,LGBMClassifier,Base,1333,266,,,,,0.4398496240601504,0.43147208121827413,0.6967213114754098,0.5329153605015674,0.4158697632058288
SBER,target_7d_binary,LGBMClassifier,Extended,1333,266,,,,,0.44360902255639095,0.4308510638297872,0.6639344262295082,0.5225806451612903,0.3935564663023679
SBER,target_7d_binary,LGBMClassifier,Tech_Macro,1333,266,,,,,0.462406015037594,0.44776119402985076,0.7377049180327869,0.5572755417956656,0.4618624772313297
SBER,target_7d_binary,LGBMClassifier,Tech_Only,1333,266,,,,,0.43609022556390975,0.42391304347826086,0.639344262295082,0.5098039215686274,0.44353369763205835
SBER,target_7d_binary,XGBClassifier,Base,1333,266,,,,,0.424812030075188,0.424390243902439,0.7131147540983607,0.5321100917431193,0.4347108378870674
SBER,target_7d_binary,XGBClassifier,Extended,1333,266,,,,,0.45864661654135336,0.44554455445544555,0.7377049180327869,0.5555555555555556,0.40226548269581053
SBER,target_7d_binary,XGBClassifier,Tech_Macro,1333,266,,,,,0.41729323308270677,0.417910447761194,0.6885245901639344,0.5201238390092879,0.39645947176684887
SBER,target_7d_binary,XGBClassifier,Tech_Only,1333,266,,,,,0.4398496240601504,0.4262295081967213,0.639344262295082,0.5114754098360655,0.4142190346083789
