Ticker,TargetVariable,ModelType,FeatureSet,NumTrainSamples,NumTestSamples,MAE,RMSE,R2,Sgn_acc,Accuracy,Precision,Recall,F1,ROC_AUC
SBER,target_1d,LGBMRegressor,Base,1313,262,1.5781507121056366,2.171505615469506,-0.5226136260892764,0.45038167938931295,,,,,
SBER,target_1d,LGBMRegressor,Extended,1313,262,1.6210719351514273,2.2149505339073174,-0.584148395409471,0.5,,,,,
SBER,target_1d,LGBMRegressor,Tech_Macro,1313,262,1.5330686647022664,2.1231873637691367,-0.4556080211313016,0.4618320610687023,,,,,
SBER,target_1d,LGBMRegressor,Tech_Only,1313,262,1.499815175832348,2.104686029578123,-0.4303503781615583,0.46946564885496184,,,,,
SBER,target_1d,XGBRegressor,Base,1313,262,2.3858756262879504,3.181834033092289,-2.269059641474724,0.5,,,,,
SBER,target_1d,XGBRegressor,Extended,1313,262,1.9303298172396413,2.6135988273427904,-1.2056959802157787,0.5229007633587787,,,,,
SBER,target_1d,XGBRegressor,Tech_Macro,1313,262,1.8563354052624688,2.4642289634543597,-0.9607847206413931,0.46946564885496184,,,,,
SBER,target_1d,XGBRegressor,Tech_Only,1313,262,1.5709722910051924,2.17326018286109,-0.5250751509327327,0.45038167938931295,,,,,
SBER,target_3d,LGBMRegressor,Base,1310,262,2.7973561950712567,3.6369598852537095,-0.29648411443249456,0.4618320610687023,,,,,
SBER,target_3d,LGBMRegressor,Extended,1310,262,3.0171012166064375,4.00652556619468,-0.5733524281914879,0.46946564885496184,,,,,
SBER,target_3d,LGBMRegressor,Tech_Macro,1310,262,2.901753918481396,3.741990783318872,-0.37244707172783675,0.4770992366412214,,,,,
SBER,target_3d,LGBMRegressor,Tech_Only,1310,262,2.9221583686315418,3.8010214985715196,-0.41608991517280036,0.42366412213740456,,,,,
SBER,target_3d,XGBRegressor,Base,1310,262,3.0534431544265734,3.8876818648460003,-0.4813975271920148,0.4541984732824427,,,,,
